"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"24",24,"120","RM",44,4224,"Pave","None",0,"Lvl",3,"Inside",0,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,2,2,"PConc",4,3,1,6,840,1,0,200,1040,"GasA",3,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1976,1,2,572,3,3,2,100,110,0,0,0,0,0,0,"None",0,6,2007,"WD","Normal",11.7745202026587
"25",25,"20","RL",0,8246,"Pave","None",1,"Lvl",3,"Inside",0,"Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,2,3,"CBlock",3,3,2,3,188,5,668,204,1060,"GasA",5,1,4,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,"Attchd",1968,1,1,270,3,3,2,406,90,0,0,0,0,0,3,"None",0,5,2010,"WD","Normal",11.9447078813958
"26",26,"20","RL",110,14230,"Pave","None",0,"Lvl",3,"Corner",0,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,3,2,"PConc",4,3,1,1,0,1,0,1566,1566,"GasA",5,1,4,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2007,2,3,890,3,3,2,0,56,0,0,0,0,0,0,"None",0,7,2009,"WD","Normal",12.4541039123522
"27",27,"20","RL",60,7200,"Pave","None",0,"Lvl",3,"Corner",0,"NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,2,"CBlock",3,3,2,4,234,3,486,180,900,"GasA",3,1,4,900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,"Detchd",2005,1,2,576,3,3,2,222,32,0,0,0,0,0,0,"None",0,5,2010,"WD","Normal",11.8115474774603
"28",28,"20","RL",98,11478,"Pave","None",0,"Lvl",3,"Inside",0,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,3,2,"PConc",5,3,1,6,1218,1,0,486,1704,"GasA",5,1,4,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2008,2,3,772,3,3,2,0,50,0,0,0,0,0,0,"None",0,5,2010,"WD","Normal",12.6313403809345
"29",29,"20","RL",47,16321,"Pave","None",1,"Lvl",3,"CulDSac",0,"NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"CBlock",3,3,4,4,1277,1,0,207,1484,"GasA",3,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,"Attchd",1957,2,1,319,3,3,2,288,258,0,0,0,0,0,0,"None",0,12,2006,"WD","Normal",12.2428866186529
"30",30,"30","RM",60,6324,"Pave","None",1,"Lvl",3,"Inside",0,"BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"BrkTil",3,3,1,1,0,1,0,520,520,"GasA",2,0,4,520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,"Detchd",1920,1,1,240,2,3,2,49,0,87,0,0,0,0,0,"None",0,5,2008,"WD","Normal",11.1345890242503
"31",31,"70","C (all)",50,8500,"Pave","Pave",0,"Lvl",3,"Inside",0,"IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,2,1,"BrkTil",3,3,1,1,0,1,0,649,649,"GasA",3,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,"Detchd",1920,1,1,250,3,2,0,0,54,172,0,0,0,0,3,"None",0,7,2008,"WD","Normal",10.5966347330961
"32",32,"20","RL",0,8544,"Pave","None",1,"Lvl",3,"CulDSac",0,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,2,2,"CBlock",3,3,1,1,0,1,0,1228,1228,"GasA",4,1,4,1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,"Attchd",1966,1,1,271,3,3,2,0,65,0,0,0,0,0,3,"None",0,6,2008,"WD","Normal",11.9140478236443
"33",33,"20","RL",85,11049,"Pave","None",0,"Lvl",3,"Corner",0,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,3,2,"PConc",5,3,3,1,0,1,0,1234,1234,"GasA",5,1,4,1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2007,2,2,484,3,3,2,0,30,0,0,0,0,0,0,"None",0,1,2008,"WD","Normal",12.1001564199386
"34",34,"20","RL",70,10552,"Pave","None",1,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,2,2,"CBlock",3,3,1,3,1018,1,0,380,1398,"GasA",4,1,4,1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,"Attchd",1959,2,2,447,3,3,2,0,38,0,0,0,0,0,0,"None",0,4,2010,"WD","Normal",12.0167264737993
"35",35,"120","RL",60,7313,"Pave","None",0,"Lvl",3,"Inside",0,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,4,2,"PConc",5,3,1,6,1153,1,0,408,1561,"GasA",5,1,4,1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,"Attchd",2005,3,2,556,3,3,2,203,47,0,0,0,0,0,0,"None",0,8,2007,"WD","Normal",12.5335762121686
"36",36,"60","RL",108,13418,"Pave","None",0,"Lvl",3,"Inside",0,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,3,2,"PConc",5,3,3,1,0,1,0,1117,1117,"GasA",5,1,4,1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2004,3,3,691,3,3,2,113,32,0,0,0,0,0,0,"None",0,9,2006,"WD","Normal",12.6410965558799
"37",37,"20","RL",112,10859,"Pave","None",0,"Lvl",3,"Corner",0,"CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,2,2,"PConc",4,3,1,1,0,1,0,1097,1097,"GasA",5,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,0,"Attchd",1995,1,2,672,3,3,2,392,64,0,0,0,0,0,0,"None",0,6,2009,"WD","Normal",11.8844890214027
"38",38,"20","RL",74,8532,"Pave","None",0,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,2,2,"CBlock",3,3,1,3,1213,1,0,84,1297,"GasA",4,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,"Attchd",1954,3,2,498,3,3,2,0,0,0,0,0,0,0,0,"None",0,10,2009,"WD","Normal",11.9381932003746
"39",39,"20","RL",68,7922,"Pave","None",0,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"CBlock",3,3,1,6,731,1,0,326,1057,"GasA",3,1,4,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,"Detchd",1953,1,1,246,3,3,2,0,52,0,0,0,0,0,0,"None",0,1,2010,"WD","Abnorml",11.5991031612113
"40",40,"90","RL",65,6040,"Pave","None",0,"Lvl",3,"Inside",0,"Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,2,2,"PConc",0,0,0,0,0,0,0,0,0,"GasA",3,0,1,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None",0,6,2008,"WD","AdjLand",11.3144745262464
"41",41,"20","RL",84,8658,"Pave","None",0,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,2,2,"CBlock",3,3,1,3,643,1,0,445,1088,"GasA",5,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,"Attchd",1965,2,2,440,3,3,2,0,138,0,0,0,0,0,2,"None",0,12,2006,"WD","Abnorml",11.982929094216
"42",42,"20","RL",115,16905,"Pave","None",0,"Lvl",3,"Inside",0,"Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"CBlock",3,3,4,4,967,1,0,383,1350,"GasA",4,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,"Attchd",1959,2,1,308,3,3,1,0,104,0,0,0,0,0,0,"None",0,7,2007,"WD","Normal",12.0435537160324
"43",43,"85","RL",0,9180,"Pave","None",1,"Lvl",3,"CulDSac",0,"SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,2,2,"CBlock",4,3,3,5,747,2,93,0,840,"GasA",4,1,4,884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,"Attchd",1983,2,2,504,3,4,2,240,0,0,0,0,0,0,3,"None",0,12,2007,"WD","Normal",11.8775685785581
"44",44,"20","RL",0,9200,"Pave","None",1,"Lvl",3,"CulDSac",0,"CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,2,2,"CBlock",4,3,3,2,280,4,491,167,938,"GasA",3,1,4,938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1977,1,1,308,3,3,2,145,0,0,0,0,0,0,3,"None",0,7,2008,"WD","Normal",11.7772109596156
"45",45,"20","RL",70,7945,"Pave","None",0,"Lvl",3,"Inside",0,"NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,2,2,"CBlock",3,3,1,5,179,4,506,465,1150,"GasA",5,1,3,1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1959,2,1,300,3,3,2,0,0,0,0,0,0,0,0,"None",0,5,2006,"WD","Normal",11.8565151693603
"46",46,"120","RL",61,7658,"Pave","None",0,"Lvl",3,"Inside",0,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,4,2,"PConc",5,3,1,6,456,1,0,1296,1752,"GasA",5,1,4,1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,4,"Attchd",2005,2,2,576,3,3,2,196,82,0,0,0,0,0,0,"None",0,2,2010,"WD","Normal",12.6757637259376
"47",47,"50","RL",48,12822,"Pave","None",1,"Lvl",3,"CulDSac",0,"Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,3,2,"PConc",5,3,1,6,1351,1,0,83,1434,"GasA",5,1,4,1518,631,0,2149,1,0,1,1,1,1,4,6,7,1,5,"Attchd",2003,2,2,670,3,3,2,168,43,0,0,198,0,0,0,"None",0,8,2009,"WD","Abnorml",12.3870850123755
"48",48,"20","FV",84,11096,"Pave","None",0,"Lvl",3,"Inside",0,"Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,3,2,"PConc",4,3,3,6,24,1,0,1632,1656,"GasA",5,1,4,1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2006,2,3,826,3,3,2,0,146,0,0,0,0,0,0,"None",0,7,2007,"WD","Normal",12.4280154762679
"49",49,"190","RM",33,4456,"Pave","None",0,"Lvl",3,"Inside",0,"OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"BrkTil",3,3,1,1,0,1,0,736,736,"GasA",4,1,4,736,716,0,1452,0,0,2,0,2,3,3,8,7,0,0,"None",0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,"None",0,6,2009,"New","Partial",11.6351430976945
"50",50,"20","RL",66,7742,"Pave","None",0,"Lvl",3,"Inside",0,"Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,2,2,"CBlock",3,3,1,4,763,1,0,192,955,"GasA",5,1,4,955,0,0,955,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1966,1,1,386,3,3,2,0,0,0,0,0,0,0,3,"None",0,1,2007,"WD","Normal",11.7519423654407
"51",51,"60","RL",0,13869,"Pave","None",2,"Lvl",3,"Corner",0,"Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,2,2,"PConc",4,3,3,6,182,1,0,612,794,"GasA",4,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,7,0,0,"Attchd",1997,3,2,388,3,3,2,0,75,0,0,0,0,0,0,"None",0,7,2007,"WD","Normal",12.083905011556
"52",52,"50","RM",52,6240,"Pave","None",0,"Lvl",3,"Inside",0,"BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,2,"PConc",3,3,1,1,0,1,0,816,816,"GasA",3,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,7,1,4,"Detchd",1985,1,2,528,3,3,2,112,0,0,0,0,0,0,3,"Shed",400,9,2006,"WD","Normal",11.6483301019764
"53",53,"90","RM",110,8472,"Grvl","None",2,"Bnk",3,"Corner",1,"IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,1,2,"CBlock",4,3,4,2,104,6,712,0,816,"GasA",3,0,4,816,0,0,816,1,0,1,0,2,1,3,5,7,0,0,"CarPort",1963,1,2,516,3,3,2,106,0,0,0,0,0,0,0,"None",0,5,2010,"WD","Normal",11.6082356447746
"54",54,"20","RL",68,50271,"Pave","None",1,"Low",3,"Inside",0,"Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng","None",0,3,2,"CBlock",5,3,4,6,1810,1,0,32,1842,"GasA",4,1,4,1842,0,0,1842,2,0,0,1,0,1,4,5,7,1,4,"Attchd",1981,3,3,894,3,3,2,857,72,0,0,0,0,0,0,"None",0,11,2006,"WD","Normal",12.8609986132699
